Config,ID,Based Club ID,Based Club Name,FM ID,First Name,Second Name,Age,Current Ability,Potential Ability,Division ID,Division Name
"[{""a"":""Club"",""m"":""Club"",""k"":88378,""r"":88378},{""a"":""Person"",""m"":""Person"",""k"":568042,""r"":568042},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":424358,""r"":568042}]",568042,88378,Huddersfield Town,28109599,Emile,Smith Rowe,20,132,156,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88021,""r"":88021},{""a"":""Person"",""m"":""Person"",""k"":603887,""r"":603887},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":467324,""r"":603887}]",603887,88021,Swansea City,37027601,Mike,van der Hoorn,27,131,135,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":577283,""r"":577283},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":433951,""r"":577283}]",577283,88385,Leeds United,29141472,Ben,White,22,131,148,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88430,""r"":88430},{""a"":""Person"",""m"":""Person"",""k"":760413,""r"":760413},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":642379,""r"":760413}]",760413,88430,West Bromwich Albion,55070289,Matheus Felipe,Costa Pereira,24,131,148,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":566936,""r"":566936},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":423252,""r"":566936}]",566936,88327,Blackburn Rovers,28091349,Adam,Armstrong,23,130,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":726601,""r"":726601},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":604427,""r"":726601}]",726601,88332,Brentford,48036788,Saïd,Benrahma,24,130,143,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":564447,""r"":564447},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":420769,""r"":564447}]",564447,88368,Fulham,28025033,Tom,Cairney,29,130,140,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88378,""r"":88378},{""a"":""Person"",""m"":""Person"",""k"":575819,""r"":575819},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":432490,""r"":575819}]",575819,88378,Huddersfield Town,29120253,Karlan,Grant,22,130,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88430,""r"":88430},{""a"":""Person"",""m"":""Person"",""k"":564481,""r"":564481},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":420803,""r"":564481}]",564481,88430,West Bromwich Albion,28026279,Romaine,Sawyers,28,130,136,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88021,""r"":88021},{""a"":""Person"",""m"":""Person"",""k"":378412,""r"":378412},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":217335,""r"":378412}]",378412,88021,Swansea City,8442448,André,Ayew,30,129,140,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":567496,""r"":567496},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":423812,""r"":567496}]",567496,88327,Blackburn Rovers,28100239,Tosin,Adarabioyo,22,129,155,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88334,""r"":88334},{""a"":""Person"",""m"":""Person"",""k"":547522,""r"":547522},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":402173,""r"":547522}]",547522,88334,Bristol City,24043896,Filip,Benkovic,23,129,162,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":916733,""r"":916733},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":818795,""r"":916733}]",916733,88368,Fulham,85059096,Anthony,Knockaert,28,129,142,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":756292,""r"":756292},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":637793,""r"":756292}]",756292,88385,Leeds United,54005896,Mateusz,Klich,30,129,131,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88406,""r"":88406},{""a"":""Person"",""m"":""Person"",""k"":564932,""r"":564932},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":421253,""r"":564932}]",564932,88406,Nottingham Forest,28037433,Joe,Lolley,27,129,134,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88415,""r"":88415},{""a"":""Person"",""m"":""Person"",""k"":578010,""r"":578010},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":434664,""r"":578010}]",578010,88415,Queens Park Rangers,29156522,Ebere,Eze,22,129,155,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88430,""r"":88430},{""a"":""Person"",""m"":""Person"",""k"":547562,""r"":547562},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":402213,""r"":547562}]",547562,88430,West Bromwich Albion,24044427,Filip,Krovinovic,24,129,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88324,""r"":88324},{""a"":""Person"",""m"":""Person"",""k"":917293,""r"":917293},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":819355,""r"":917293}]",917293,88324,Birmingham City,85077900,Maxime,Colin,28,128,135,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":299689,""r"":299689},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":139035,""r"":299689}]",299689,88327,Blackburn Rovers,5113374,Stewart,Downing,36,128,146,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":575306,""r"":575306},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":431963,""r"":575306}]",575306,88332,Brentford,29110623,Ollie,Watkins,24,128,140,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88340,""r"":88340},{""a"":""Person"",""m"":""Person"",""k"":565719,""r"":565719},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":422037,""r"":565719}]",565719,88340,Cardiff City,28059434,Joe,Ralls,26,128,132,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88378,""r"":88378},{""a"":""Person"",""m"":""Person"",""k"":273550,""r"":273550},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":113078,""r"":273550}]",273550,88378,Huddersfield Town,1700114,Jonas,Lössl,31,128,135,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88378,""r"":88378},{""a"":""Person"",""m"":""Person"",""k"":936418,""r"":936418},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":841232,""r"":936418}]",936418,88378,Huddersfield Town,91012809,Christopher,Schindler,30,128,155,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":564382,""r"":564382},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":420704,""r"":564382}]",564382,88385,Leeds United,28020241,Liam,Cooper,28,128,129,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":738963,""r"":738963},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":618892,""r"":738963}]",738963,88385,Leeds United,52014865,Stuart,Dallas,29,128,129,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88414,""r"":88414},{""a"":""Person"",""m"":""Person"",""k"":566111,""r"":566111},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":422428,""r"":566111}]",566111,88414,Preston North End,28066818,Ben,Pearson,25,128,140,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88416,""r"":88416},{""a"":""Person"",""m"":""Person"",""k"":571857,""r"":571857},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":428515,""r"":571857}]",571857,88416,Reading,29045054,Liam,Moore,27,128,129,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88430,""r"":88430},{""a"":""Person"",""m"":""Person"",""k"":564924,""r"":564924},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":421245,""r"":564924}]",564924,88430,West Bromwich Albion,28037204,Sam,Johnstone,27,128,140,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88430,""r"":88430},{""a"":""Person"",""m"":""Person"",""k"":565970,""r"":565970},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":422287,""r"":565970}]",565970,88430,West Bromwich Albion,28062309,Callum,Robinson,25,128,140,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88340,""r"":88340},{""a"":""Person"",""m"":""Person"",""k"":295511,""r"":295511},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":134991,""r"":295511}]",295511,88340,Cardiff City,5006680,Neil,Etheridge,30,127,134,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":565587,""r"":565587},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":421906,""r"":565587}]",565587,88368,Fulham,28058544,Bobby,Decordova-Reid,27,127,133,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":565588,""r"":565588},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":421907,""r"":565588}]",565588,88368,Fulham,28058545,Joe,Bryan,26,127,137,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":565625,""r"":565625},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":421944,""r"":565625}]",565625,88368,Fulham,28058697,Michael,Hector,28,127,132,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":566929,""r"":566929},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":423245,""r"":566929}]",566929,88368,Fulham,28090964,Marek,Rodák,23,127,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":573141,""r"":573141},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":429817,""r"":573141}]",573141,88368,Fulham,29073578,Alfie,Mawson,26,127,141,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":573427,""r"":573427},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":430103,""r"":573427}]",573427,88368,Fulham,29076104,Harrison,Reed,25,127,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":867645,""r"":867645},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":759412,""r"":867645}]",867645,88368,Fulham,72021508,Tim,Ream,32,127,130,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":563783,""r"":563783},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":420106,""r"":563783}]",563783,88385,Leeds United,28011526,Luke,Ayling,28,127,134,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":919276,""r"":919276},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":821334,""r"":919276}]",919276,88385,Leeds United,85140298,Jean-Kévin,Augustin,23,127,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88406,""r"":88406},{""a"":""Person"",""m"":""Person"",""k"":295497,""r"":295497},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":134819,""r"":295497}]",295497,88406,Nottingham Forest,5006614,Lewis,Grabban,32,127,134,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88018,""r"":88018},{""a"":""Person"",""m"":""Person"",""k"":433512,""r"":433512},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":277988,""r"":433512}]",433512,88018,Stoke City,16023937,Kevin,Wimmer,27,126,142,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88324,""r"":88324},{""a"":""Person"",""m"":""Person"",""k"":571061,""r"":571061},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":427903,""r"":571061}]",571061,88324,Birmingham City,29038208,Harlee,Dean,29,126,135,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":566420,""r"":566420},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":422737,""r"":566420}]",566420,88327,Blackburn Rovers,28070819,Darragh,Lenihan,26,126,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":577381,""r"":577381},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":434049,""r"":577381}]",577381,88327,Blackburn Rovers,29142085,Ryan,Nyambe,22,126,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":936053,""r"":936053},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":840868,""r"":936053}]",936053,88327,Blackburn Rovers,91000734,Lewis,Holtby,29,126,144,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":557397,""r"":557397},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":412901,""r"":557397}]",557397,88332,Brentford,27088231,Mathias,Jensen,24,126,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":575393,""r"":575393},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":432050,""r"":575393}]",575393,88332,Brentford,29111433,David,Raya,24,126,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":576468,""r"":576468},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":433136,""r"":576468}]",576468,88332,Brentford,29129073,Rico,Henry,23,126,142,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":727108,""r"":727108},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":604935,""r"":727108}]",727108,88332,Brentford,48042658,Bryan,Mbeumo,20,126,-8,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88334,""r"":88334},{""a"":""Person"",""m"":""Person"",""k"":549482,""r"":549482},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":404674,""r"":549482}]",549482,88334,Bristol City,25019682,Tomas,Kalas,27,126,135,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88340,""r"":88340},{""a"":""Person"",""m"":""Person"",""k"":565563,""r"":565563},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":421882,""r"":565563}]",565563,88340,Cardiff City,28058298,Brad,Smith,26,126,135,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":371326,""r"":371326},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":210279,""r"":371326}]",371326,88368,Fulham,8156635,Denis,Odoi,32,126,132,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":569094,""r"":569094},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":425776,""r"":569094}]",569094,88368,Fulham,29000229,Harry,Arter,30,126,140,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":592928,""r"":592928},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":452355,""r"":592928}]",592928,88368,Fulham,34009617,Maxime,Le Marchand,30,126,131,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":966985,""r"":966985},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":877381,""r"":966985}]",966985,88385,Leeds United,98017001,Ezgjan,Alioski,28,126,139,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88406,""r"":88406},{""a"":""Person"",""m"":""Person"",""k"":759405,""r"":759405},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":641372,""r"":759405}]",759405,88406,Nottingham Forest,55060877,Tiago,Silva,27,126,136,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88406,""r"":88406},{""a"":""Person"",""m"":""Person"",""k"":917134,""r"":917134},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":819196,""r"":917134}]",917134,88406,Nottingham Forest,85073883,Brice,Samba,26,126,131,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88416,""r"":88416},{""a"":""Person"",""m"":""Person"",""k"":455655,""r"":455655},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":304759,""r"":455655}]",455655,88416,Reading,19016415,Rafael,Cabral Barbosa,30,126,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88416,""r"":88416},{""a"":""Person"",""m"":""Person"",""k"":868505,""r"":868505},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":760253,""r"":868505}]",868505,88416,Reading,72040390,Matt,Miazga,25,126,135,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88423,""r"":88423},{""a"":""Person"",""m"":""Person"",""k"":566169,""r"":566169},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":422486,""r"":566169}]",566169,88423,Sheffield Wednesday,28067727,Dominic,Iorfa,25,126,140,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88430,""r"":88430},{""a"":""Person"",""m"":""Person"",""k"":570278,""r"":570278},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":426796,""r"":570278}]",570278,88430,West Bromwich Albion,29020283,Matt,Phillips,29,126,140,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88021,""r"":88021},{""a"":""Person"",""m"":""Person"",""k"":573836,""r"":573836},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":430510,""r"":573836}]",573836,88021,Swansea City,29086056,Matt,Grimes,25,125,135,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88324,""r"":88324},{""a"":""Person"",""m"":""Person"",""k"":547376,""r"":547376},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":402050,""r"":547376}]",547376,88324,Birmingham City,24039617,Ivan,Sunjic,23,125,144,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":566114,""r"":566114},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":422431,""r"":566114}]",566114,88327,Blackburn Rovers,28066821,Joe,Rothwell,25,125,132,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":554324,""r"":554324},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":409870,""r"":554324}]",554324,88332,Brentford,27031289,Henrik,Dalsgaard,31,125,129,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88334,""r"":88334},{""a"":""Person"",""m"":""Person"",""k"":572405,""r"":572405},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":429114,""r"":572405}]",572405,88334,Bristol City,29060276,Daniel,Bentley,27,125,135,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88340,""r"":88340},{""a"":""Person"",""m"":""Person"",""k"":563372,""r"":563372},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":419695,""r"":563372}]",563372,88340,Cardiff City,28003213,Joe,Bennett,30,125,126,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88340,""r"":88340},{""a"":""Person"",""m"":""Person"",""k"":570207,""r"":570207},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":426919,""r"":570207}]",570207,88340,Cardiff City,29019771,Sean,Morrison,29,125,127,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88340,""r"":88340},{""a"":""Person"",""m"":""Person"",""k"":573485,""r"":573485},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":430161,""r"":573485}]",573485,88340,Cardiff City,29079831,Josh,Murphy,25,125,136,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88340,""r"":88340},{""a"":""Person"",""m"":""Person"",""k"":937718,""r"":937718},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":842532,""r"":937718}]",937718,88340,Cardiff City,91124152,Robert,Glatzel,26,125,138,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88360,""r"":88360},{""a"":""Person"",""m"":""Person"",""k"":603580,""r"":603580},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":467009,""r"":603580}]",603580,88360,Derby County,37020428,Mike,te Wierik,28,125,130,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":603708,""r"":603708},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":467136,""r"":603708}]",603708,88368,Fulham,37024279,Terence,Kongolo,26,125,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":565759,""r"":565759},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":422077,""r"":565759}]",565759,88385,Leeds United,28059632,Patrick,Bamford,26,125,140,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88406,""r"":88406},{""a"":""Person"",""m"":""Person"",""k"":577777,""r"":577777},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":434441,""r"":577777}]",577777,88406,Nottingham Forest,29147447,Matty,Cash,22,125,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88406,""r"":88406},{""a"":""Person"",""m"":""Person"",""k"":592290,""r"":592290},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":451719,""r"":592290}]",592290,88406,Nottingham Forest,34000999,Gaëtan,Bong,32,125,129,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88414,""r"":88414},{""a"":""Person"",""m"":""Person"",""k"":594404,""r"":594404},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":455201,""r"":594404}]",594404,88414,Preston North End,35017446,Patrick,Bauer,27,125,135,153406,Sky Bet Championship
